,Unnamed: 0,price,minimum_nights,availability_365,number_of_reviews,neighbourhood_group_Bronx,neighbourhood_group_Brooklyn,neighbourhood_group_Manhattan,neighbourhood_group_Queens,neighbourhood_group_Staten Island,room_type_Entire home/apt,room_type_Hotel room,room_type_Private room,room_type_Shared room
18644,18644,167,4,10,4,0,0,1,0,0,1,0,0,0
50528,50528,167,3,178,0,0,0,1,0,0,1,0,0,0
1410,1410,167,5,1,32,0,0,1,0,0,0,0,1,0
43444,43444,167,100,221,0,0,1,0,0,0,1,0,0,0
5933,5933,167,2,171,49,0,0,1,0,0,1,0,0,0
22499,22499,167,4,339,7,0,1,0,0,0,1,0,0,0
29540,29540,168,30,335,7,0,1,0,0,0,1,0,0,0
30493,30493,168,2,0,5,0,1,0,0,0,1,0,0,0
42112,42112,168,3,245,17,0,0,1,0,0,1,0,0,0
8884,8884,168,30,323,131,0,0,0,1,0,1,0,0,0
1069,1069,168,2,0,227,0,1,0,0,0,1,0,0,0
4523,4523,168,1,61,313,0,0,1,0,0,1,0,0,0
9889,9889,168,1,0,2,0,0,1,0,0,1,0,0,0
15819,15819,168,30,354,84,0,0,0,1,0,1,0,0,0
2496,2496,168,2,0,1,0,1,0,0,0,1,0,0,0
5012,5012,168,30,365,4,0,0,1,0,0,1,0,0,0
27135,27135,168,2,0,0,0,0,1,0,0,1,0,0,0
47298,47298,168,2,43,3,0,1,0,0,0,1,0,0,0
38287,38287,168,3,42,34,0,0,1,0,0,1,0,0,0
38056,38056,168,10,0,11,0,0,1,0,0,1,0,0,0
42118,42118,168,5,0,4,0,1,0,0,0,1,0,0,0
24383,24383,168,1,0,91,0,0,1,0,0,1,0,0,0
43755,43755,168,3,0,1,0,0,1,0,0,0,0,1,0
1494,1494,168,2,0,172,0,1,0,0,0,1,0,0,0
12597,12597,168,1,0,1,0,1,0,0,0,1,0,0,0
30807,30807,168,4,58,34,0,0,1,0,0,1,0,0,0
14055,14055,168,2,346,68,0,1,0,0,0,1,0,0,0
41880,41880,168,5,25,11,0,0,1,0,0,1,0,0,0
35047,35047,168,3,0,3,0,0,1,0,0,1,0,0,0
33785,33785,168,3,31,8,0,0,1,0,0,1,0,0,0
8771,8771,168,2,0,20,0,1,0,0,0,1,0,0,0
39863,39863,168,3,0,3,0,0,1,0,0,1,0,0,0
45515,45515,168,2,346,1,0,0,1,0,0,1,0,0,0
12644,12644,168,2,0,21,0,1,0,0,0,1,0,0,0
17583,17583,168,1,84,2,0,0,0,1,0,1,0,0,0
30959,30959,168,30,307,16,0,0,0,1,0,1,0,0,0
23843,23843,168,2,0,4,0,0,1,0,0,1,0,0,0
20982,20982,168,7,0,10,0,0,1,0,0,1,0,0,0
27167,27167,168,30,178,26,0,0,0,0,1,1,0,0,0
7383,7383,168,30,64,12,0,0,1,0,0,1,0,0,0
21343,21343,168,1,348,135,0,0,1,0,0,1,0,0,0
48840,48840,168,2,341,1,0,0,1,0,0,1,0,0,0
47811,47811,168,5,146,0,0,0,1,0,0,1,0,0,0
13537,13537,168,1,0,1,0,0,1,0,0,1,0,0,0
44811,44811,168,3,14,17,0,0,1,0,0,0,0,1,0
28847,28847,168,3,64,26,0,1,0,0,0,1,0,0,0
40619,40619,168,2,347,1,0,0,1,0,0,1,0,0,0
45782,45782,169,1,0,2,0,1,0,0,0,0,0,1,0
22647,22647,169,2,0,94,0,1,0,0,0,1,0,0,0
21371,21371,169,5,0,1,0,1,0,0,0,1,0,0,0
24428,24428,169,3,74,6,0,1,0,0,0,1,0,0,0
2917,2917,169,2,362,22,0,1,0,0,0,1,0,0,0
30422,30422,169,3,0,0,0,0,1,0,0,1,0,0,0
4034,4034,169,4,0,33,0,1,0,0,0,1,0,0,0
23421,23421,169,1,0,11,0,1,0,0,0,1,0,0,0
39717,39717,169,2,352,2,0,0,1,0,0,1,0,0,0
21276,21276,169,5,243,34,0,0,1,0,0,0,0,1,0
20886,20886,169,3,0,75,0,0,1,0,0,1,0,0,0
27526,27526,169,7,200,84,0,0,1,0,0,1,0,0,0
14545,14545,169,2,260,147,0,1,0,0,0,1,0,0,0
5196,5196,169,1,0,151,0,1,0,0,0,0,0,1,0
8087,8087,169,2,8,56,0,1,0,0,0,1,0,0,0
46598,46598,169,2,311,8,0,0,0,1,0,1,0,0,0
27541,27541,169,3,336,22,0,1,0,0,0,1,0,0,0
46233,46233,169,2,287,0,0,0,1,0,0,1,0,0,0
5610,5610,169,2,0,3,0,0,1,0,0,0,0,0,1
24391,24391,169,2,0,10,0,1,0,0,0,1,0,0,0
43119,43119,169,4,35,15,0,0,1,0,0,1,0,0,0
4877,4877,169,3,351,190,0,1,0,0,0,1,0,0,0
27631,27631,169,1,161,2,0,1,0,0,0,0,0,1,0
3736,3736,169,30,365,52,0,0,0,0,1,0,0,1,0
14218,14218,169,14,279,14,0,1,0,0,0,1,0,0,0
2867,2867,169,5,0,9,0,0,1,0,0,1,0,0,0
30536,30536,169,30,11,58,0,0,1,0,0,1,0,0,0
2435,2435,169,120,186,3,0,0,1,0,0,1,0,0,0
11075,11075,169,1,284,66,0,0,1,0,0,1,0,0,0
18933,18933,169,1,361,34,0,1,0,0,0,0,1,0,0
50155,50155,169,30,365,0,0,0,1,0,0,1,0,0,0
27862,27862,169,1,49,59,0,0,1,0,0,1,0,0,0
10892,10892,169,30,184,2,0,0,1,0,0,1,0,0,0
20209,20209,169,2,332,76,0,0,0,1,0,1,0,0,0
4078,4078,169,5,0,0,0,0,1,0,0,1,0,0,0
48837,48837,169,3,260,2,0,1,0,0,0,1,0,0,0
29961,29961,169,1,85,66,0,0,1,0,0,0,0,1,0
10849,10849,169,5,0,0,0,0,1,0,0,1,0,0,0
16082,16082,169,3,282,25,0,0,1,0,0,1,0,0,0
1088,1088,169,4,344,69,0,1,0,0,0,1,0,0,0
18533,18533,169,3,0,65,0,1,0,0,0,1,0,0,0
47537,47537,169,7,8,1,0,0,1,0,0,1,0,0,0
43101,43101,169,30,350,0,0,0,1,0,0,1,0,0,0
48737,48737,169,10,21,0,0,1,0,0,0,1,0,0,0
10259,10259,169,4,0,3,0,0,1,0,0,1,0,0,0
48700,48700,169,30,365,0,0,0,1,0,0,1,0,0,0
4934,4934,169,4,0,7,0,0,1,0,0,1,0,0,0
25460,25460,169,3,77,41,0,0,1,0,0,0,0,1,0
6298,6298,169,4,311,147,0,0,1,0,0,1,0,0,0
29688,29688,169,3,32,11,0,1,0,0,0,1,0,0,0
48618,48618,169,2,30,3,0,0,1,0,0,0,0,1,0
42733,42733,169,2,45,7,0,0,1,0,0,1,0,0,0
42549,42549,169,3,36,7,0,0,0,1,0,1,0,0,0
29689,29689,169,4,279,19,0,0,0,1,0,1,0,0,0
24695,24695,169,4,12,25,0,0,1,0,0,0,0,1,0
8726,8726,169,4,0,8,0,0,1,0,0,1,0,0,0
42435,42435,169,4,277,18,0,1,0,0,0,1,0,0,0
40414,40414,169,3,0,1,0,1,0,0,0,1,0,0,0
11096,11096,169,1,23,49,0,0,1,0,0,1,0,0,0
8086,8086,169,4,0,11,0,0,1,0,0,1,0,0,0
47755,47755,169,1,159,6,0,0,1,0,0,1,0,0,0
37212,37212,169,3,6,3,0,0,1,0,0,0,0,1,0
489,489,169,3,334,192,0,1,0,0,0,1,0,0,0
