,Unnamed: 0,price,minimum_nights,availability_365,number_of_reviews,neighbourhood_group_Bronx,neighbourhood_group_Brooklyn,neighbourhood_group_Manhattan,neighbourhood_group_Queens,neighbourhood_group_Staten Island,room_type_Entire home/apt,room_type_Hotel room,room_type_Private room,room_type_Shared room
32076,32076,40,30,49,23,0,1,0,0,0,0,0,1,0
41750,41750,40,1,164,28,0,1,0,0,0,0,0,1,0
18264,18264,40,5,0,0,0,1,0,0,0,0,0,1,0
9470,9470,40,4,334,7,0,0,1,0,0,0,0,0,1
20138,20138,40,2,126,8,0,1,0,0,0,0,0,1,0
2958,2958,40,25,0,8,0,0,0,1,0,0,0,1,0
16060,16060,40,2,0,3,0,1,0,0,0,0,0,1,0
17421,17421,40,30,230,87,0,1,0,0,0,0,0,1,0
29978,29978,40,15,0,0,0,1,0,0,0,0,0,1,0
32890,32890,40,1,70,66,0,1,0,0,0,0,0,1,0
23128,23128,40,1,50,78,0,1,0,0,0,0,0,1,0
31755,31755,40,30,332,4,0,1,0,0,0,0,0,1,0
14824,14824,40,1,328,160,1,0,0,0,0,0,0,1,0
26453,26453,40,1,0,0,0,1,0,0,0,0,0,1,0
29973,29973,40,2,0,6,0,0,1,0,0,0,0,1,0
45947,45947,40,5,326,4,0,1,0,0,0,0,0,0,1
2972,2972,40,1,0,0,0,0,1,0,0,0,0,1,0
17422,17422,40,28,5,10,0,1,0,0,0,0,0,1,0
9632,9632,40,20,279,25,0,1,0,0,0,0,0,1,0
36736,36736,40,2,66,10,0,1,0,0,0,0,0,1,0
23129,23129,40,1,50,130,0,1,0,0,0,0,0,1,0
38075,38075,40,2,73,22,0,0,0,1,0,0,0,1,0
20230,20230,40,1,5,16,0,1,0,0,0,0,0,1,0
19505,19505,40,3,0,1,0,0,0,1,0,0,0,1,0
20227,20227,40,1,0,0,0,1,0,0,0,1,0,0,0
11227,11227,40,15,334,0,0,1,0,0,0,0,0,1,0
32263,32263,40,2,67,111,0,0,0,0,1,0,0,1,0
17168,17168,40,3,0,3,0,1,0,0,0,0,0,1,0
37797,37797,40,7,165,15,0,1,0,0,0,0,0,1,0
16046,16046,40,2,0,3,0,0,1,0,0,0,0,1,0
16061,16061,40,1,73,132,0,1,0,0,0,0,0,1,0
18988,18988,40,2,0,0,0,1,0,0,0,0,0,1,0
49642,49642,40,1,174,0,0,0,0,1,0,0,0,1,0
37228,37228,40,1,0,1,0,1,0,0,0,0,0,1,0
40560,40560,40,1,80,23,0,1,0,0,0,0,0,1,0
19850,19850,40,3,0,34,0,1,0,0,0,0,0,1,0
31698,31698,40,1,0,1,0,1,0,0,0,0,0,1,0
