,Unnamed: 0,id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
29350,29360,24810452,Williamsburg Gem in BK! Queen BR in Luxury Apt,1799439,Sean,Brooklyn,Williamsburg,40.71543,-73.94278,Private room,99,2,7,2018-09-18,0.39,1,0
7133,7133,5742795,Big Bedroom in Huge Loft. W.37thNYC,29786027,Peter,Manhattan,Hell's Kitchen,40.75437,-73.99334,Private room,99,4,2,2015-06-14,0.04,1,0
41280,41290,35416869,Marie's Cottage,38363932,Marie,Queens,Briarwood,40.7143,-73.81834,Shared room,99,2,0,,,1,365
7145,7145,5756767,CLEAN SUNNY ARTSY APARTMENT,75815,Marie Sophie & Christopher,Brooklyn,Bedford-Stuyvesant,40.68411,-73.92079,Entire home/apt,99,3,0,,,1,0
47558,47568,39390961,the Artist Place,5764038,Stephanie,Manhattan,Harlem,40.79971,-73.95325,Entire home/apt,99,4,0,,,3,0
4868,4868,3767267,Lovely private room in Manhattan,3231109,Trish,Manhattan,Morningside Heights,40.81065,-73.96311999999998,Private room,99,4,62,2019-12-03,1.0,2,51
19728,19728,16781516,Large Private Light Filled Room 5 min CentralPark!,22101365,Natalie,Manhattan,Upper East Side,40.76404,-73.96547,Private room,99,3,88,2019-12-03,2.61,1,0
3257,3257,2111172,Williamsburg. By Bedford L train,8337801,De,Brooklyn,Williamsburg,40.71872000000001,-73.95496,Private room,99,5,73,2019-08-18,1.01,1,10
19973,19973,17117129,LastM & EarlyBirdDiscount! ModernCozy Apt Parkview,114988251,A. Kaylee,Brooklyn,Prospect-Lefferts Gardens,40.65608,-73.96176,Entire home/apt,99,3,40,2019-11-23,2.26,1,346
48632,48648,39833359,Cozy Studio with a Modern/Luxe Feel,306482362,Laura,Queens,Astoria,40.76308,-73.90850999999998,Entire home/apt,99,1,3,2019-12-02,3.0,1,161
40317,40327,34667590,Sunny Mott Haven Townhouse With Garden.,7850260,Raymond,Bronx,Mott Haven,40.81169000000001,-73.90961,Entire home/apt,99,3,2,2019-11-25,2.0,4,70
24810,24818,21239728,2 Bedroom Apt in landmarked Harlem Brownstone,57460773,Tina,Manhattan,Harlem,40.81986,-73.94414,Entire home/apt,99,2,85,2019-11-27,3.86,1,0
14789,14789,12737915,Artist Loft East Williamsburg,15019621,Kennedy,Brooklyn,Williamsburg,40.71401,-73.93672,Private room,99,1,2,2016-05-11,0.05,1,0
3243,3243,2104910,SPACIOUS APT BK/QUEENS w/BACKYARD!,10643810,Alex,Queens,Ridgewood,40.70988,-73.90845,Entire home/apt,99,2,57,2017-03-08,0.82,1,55
24540,24548,21056487,"** SoHo: Clean, Safe, Private, Quiet Bedroom (B)**",104450469,Janet,Manhattan,SoHo,40.7228,-73.99799,Private room,99,2,41,2019-10-04,1.54,2,64
34785,34795,30131908,Private room in Upper East Side |Near Central Park,79194704,Fernanda,Manhattan,East Harlem,40.78721,-73.94131,Private room,99,1,1,2018-11-26,0.08,1,0
